,integration_datetime,region_id,match_id
0,2022-12-05 09:31:30.786141,euw1,6176589556
1,2022-12-05 09:31:30.786141,euw1,6176583168
2,2022-12-05 09:31:30.786141,euw1,6176582287
3,2022-12-05 09:31:30.786141,euw1,6176584674
4,2022-12-05 09:31:30.786141,euw1,6176585645
5,2022-12-05 09:31:31.369699,br1,2639265127
6,2022-12-05 09:31:31.369699,br1,2639263279
7,2022-12-05 09:31:31.369699,br1,2639261500
8,2022-12-05 09:31:31.369699,br1,2639262452
9,2022-12-05 09:31:31.369699,br1,2639267062
10,2022-12-05 09:31:32.775271,eun1,3268298650
11,2022-12-05 09:31:32.775271,eun1,3268299351
12,2022-12-05 09:31:32.775271,eun1,3268299210
13,2022-12-05 09:31:32.775271,eun1,3268296913
14,2022-12-05 09:31:32.775271,eun1,3268297650
15,2022-12-05 09:31:33.391304,la1,1329830239
16,2022-12-05 09:31:33.391304,la1,1329829266
17,2022-12-05 09:31:33.391304,la1,1329828935
18,2022-12-05 09:31:33.391304,la1,1329830235
19,2022-12-05 09:31:33.391304,la1,1329829327
20,2022-12-05 09:31:34.797656,la2,1245630983
21,2022-12-05 09:31:34.797656,la2,1245630951
22,2022-12-05 09:31:34.797656,la2,1245632205
23,2022-12-05 09:31:34.797656,la2,1245631667
24,2022-12-05 09:31:34.797656,la2,1245632210
25,2022-12-05 09:31:36.197838,na1,4509806404
26,2022-12-05 09:31:36.197838,na1,4509805434
27,2022-12-05 09:31:36.197838,na1,4509808225
28,2022-12-05 09:31:36.197838,na1,4509810067
29,2022-12-05 09:31:36.197838,na1,4509811903
30,2022-12-05 09:31:37.593021,oc1,552014748
31,2022-12-05 09:31:37.593021,oc1,552015362
32,2022-12-05 09:31:37.593021,oc1,552016229
33,2022-12-05 09:31:37.593021,oc1,552014617
34,2022-12-05 09:31:37.593021,oc1,552016117
35,2022-12-05 09:31:39.145915,tr1,1358800504
36,2022-12-05 09:31:39.145915,tr1,1358802124
37,2022-12-05 09:31:39.145915,tr1,1358801457
38,2022-12-05 09:31:39.145915,tr1,1358800574
39,2022-12-05 09:31:39.145915,tr1,1358802177
40,2022-12-05 09:31:39.793620,jp1,377258058
41,2022-12-05 09:31:39.793620,jp1,377256898
42,2022-12-05 09:31:39.793620,jp1,377256962
43,2022-12-05 09:31:39.793620,jp1,377257604
44,2022-12-05 09:31:39.793620,jp1,377257624
45,2022-12-05 09:31:41.298611,kr,6245595490
